GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet Service,com.fns.grivet.security.basic,SecurityConfig.AuthenticationSecurity,13,0,0,0,5,0,2,0,2,0
Grivet Service,com.fns.grivet.security.basic,SecurityConfig,3,0,0,0,1,0,1,0,1,0
Grivet Service,com.fns.grivet.repo,JdbcEntityRepository,88,247,5,7,13,29,6,7,1,6
Grivet Service,com.fns.grivet.repo,JdbcEntityRepository.EAVComparator,0,9,0,0,0,2,0,2,0,2
Grivet Service,com.fns.grivet.repo,AttributeTypeRepository,0,40,0,0,0,5,0,8,0,8
Grivet Service,com.fns.grivet.monitoring,StatsdSettings,68,11,2,0,19,3,11,1,10,1
Grivet Service,com.fns.grivet.monitoring,MonitoringSupport,60,0,0,0,13,0,5,0,5,0
Grivet Service,com.fns.grivet.monitoring,StatsdRunner,37,0,0,0,7,0,2,0,2,0
Grivet Service,com.fns.grivet.monitoring,DefaultWebappMetricFilter,72,0,0,0,13,0,3,0,3,0
Grivet Service,com.fns.grivet.monitoring,MonitoringSupport.MonitoringListener,19,0,0,0,6,0,3,0,3,0
Grivet Service,com.fns.grivet.query,Constraint,70,0,8,0,16,0,9,0,5,0
Grivet Service,com.fns.grivet.query,Operator,191,0,0,0,21,0,8,0,8,0
Grivet Service,com.fns.grivet.query,DynamicQuery.new Object() {...},93,0,0,0,2,0,1,0,1,0
Grivet Service,com.fns.grivet.query,QueryBuilder,328,91,22,0,66,17,18,5,7,5
Grivet Service,com.fns.grivet.query,QueryType,5,33,0,0,0,3,1,3,1,3
Grivet Service,com.fns.grivet.query,Conjunction,75,0,0,0,10,0,7,0,7,0
Grivet Service,com.fns.grivet.query,DynamicQuery,473,29,57,3,87,9,44,2,9,2
Grivet Service,com.fns.grivet.query,NamedQuery,101,192,25,17,20,41,22,12,2,11
Grivet Service,com.fns.grivet.controller,GlobalControllerExceptionHandler,31,47,3,1,2,7,2,2,0,2
Grivet Service,com.fns.grivet.controller,UserController,4,6,0,0,1,3,1,1,1,1
Grivet Service,com.fns.grivet.controller,LogUtil,41,37,6,2,9,8,7,2,3,2
Grivet Service,com.fns.grivet.controller,NamedQueryController,27,123,8,4,2,27,6,7,0,7
Grivet Service,com.fns.grivet.controller,ClassRegistryController,165,192,14,8,28,36,10,11,1,9
Grivet Service,com.fns.grivet.controller,EntityController,152,114,16,6,22,22,12,5,1,5
Grivet Service,com.fns.grivet.controller,MetricsAspect,42,6,0,0,9,3,1,1,1,1
Grivet Service,com.fns.grivet.model,ClassAttribute,61,25,10,0,10,10,7,5,2,5
Grivet Service,com.fns.grivet.model,Class,54,72,14,0,13,16,9,10,2,10
Grivet Service,com.fns.grivet.model,ValueHelper.new Object() {...},9,59,0,0,0,1,0,1,0,1
Grivet Service,com.fns.grivet.model,Role,24,8,0,0,10,2,7,1,7,1
Grivet Service,com.fns.grivet.model,Audited,27,94,8,8,10,25,11,11,3,11
Grivet Service,com.fns.grivet.model,LocalDateTimeConverter,0,9,0,0,0,3,0,3,0,3
Grivet Service,com.fns.grivet.model,EntityAttributeValue,10,32,1,1,3,12,3,5,2,5
Grivet Service,com.fns.grivet.model,ClassAttributePK,70,3,8,0,16,1,10,1,6,1
Grivet Service,com.fns.grivet.model,Attribute,43,41,10,0,12,8,8,5,3,5
Grivet Service,com.fns.grivet.model,AttributeType,37,187,2,0,3,21,4,8,3,8
Grivet Service,com.fns.grivet.model,User,63,8,0,0,22,3,11,1,11,1
Grivet Service,com.fns.grivet.model,ValueHelper,42,103,8,16,14,38,9,14,1,2
Grivet Service,com.fns.grivet.service,EntityService,8,283,2,8,1,56,2,7,0,4
Grivet Service,com.fns.grivet.service,SchemaValidator,14,79,0,0,2,15,0,2,0,2
Grivet Service,com.fns.grivet.service,ClassRegistryService,15,428,9,17,1,91,9,12,0,8
Grivet Service,com.fns.grivet.service,CustomUserDetailsService.GrivetUser,18,0,0,0,8,0,7,0,7,0
Grivet Service,com.fns.grivet.service,SchemaValidationException,5,0,0,0,2,0,1,0,1,0
Grivet Service,com.fns.grivet.service,CustomUserDetailsService,25,6,2,0,4,3,2,1,1,1
Grivet Service,com.fns.grivet.service,NamedQueryService,138,213,17,11,22,55,14,9,2,6
Grivet Service,com.fns.grivet.service,NamedQueryService.new CallableStatementCallback() {...},26,0,0,0,3,0,2,0,2,0
Grivet Service,com.fns.grivet.service,NamedQueryService.new Object() {...},2,17,0,0,0,1,0,1,0,1
Grivet Service,com.fns.grivet.service,SecurityFacade,23,12,3,1,6,5,3,2,1,2
Grivet Service,com.fns.grivet.config,DataSourceConfig,0,38,0,0,0,9,0,2,0,2
Grivet Service,com.fns.grivet.api,SwaggerConfig,0,72,0,0,0,19,0,3,0,3
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig.MethodSecurityConfig,7,0,0,0,2,0,2,0,2,0
Grivet Service,com.fns.grivet.security.oauth2,AdminController,158,0,14,0,42,0,18,0,11,0
Grivet Service,com.fns.grivet.security.oauth2,AccessConfirmationController,119,0,8,0,22,0,9,0,5,0
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig.ApprovalStoreConfig,37,0,0,0,10,0,3,0,3,0
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig.WebSecurityConfig,29,0,0,0,4,0,3,0,3,0
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig.ResourceServer,49,0,0,0,14,0,3,0,3,0
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig,3,0,0,0,1,0,1,0,1,0
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig.OAuth2Config,117,0,0,0,24,0,6,0,6,0
Grivet Service,com.fns.grivet.security.oauth2,GrivetUserApprovalHandler,68,0,8,0,24,0,8,0,4,0
Grivet Service,com.fns.grivet,AppInit,5,3,0,0,2,1,1,1,1,1
