GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet Service,com.fns.grivet.repo,JdbcEntityRepository.EAVComparator,0,9,0,0,0,2,0,2,0,2
Grivet Service,com.fns.grivet.repo,JdbcEntityRepository,32,303,5,7,5,37,5,8,0,7
Grivet Service,com.fns.grivet.repo,AttributeTypeRepository,0,40,0,0,0,5,0,8,0,8
Grivet Service,com.fns.grivet.query,Constraint,17,78,3,9,5,17,4,9,2,5
Grivet Service,com.fns.grivet.query,QueryType,5,33,0,0,0,3,1,3,1,3
Grivet Service,com.fns.grivet.query,Operator,5,186,0,0,0,21,1,7,1,7
Grivet Service,com.fns.grivet.query,Conjunction,5,70,0,0,0,10,1,6,1,6
Grivet Service,com.fns.grivet.query,DynamicQuery.new Object() {...},12,81,0,0,0,2,0,1,0,1
Grivet Service,com.fns.grivet.query,DynamicQuery,78,424,21,39,15,81,19,27,0,11
Grivet Service,com.fns.grivet.query,QueryBuilder,47,372,3,19,6,77,5,18,2,10
Grivet Service,com.fns.grivet.query,NamedQuery,31,192,9,21,5,48,10,18,1,12
Grivet Service,com.fns.grivet.util,ValueHelper,8,137,4,20,2,50,5,18,1,2
Grivet Service,com.fns.grivet.util,ValueHelper.new Object() {...},9,59,0,0,0,1,0,1,0,1
Grivet Service,com.fns.grivet.util,LocalDateTimeConverter,0,9,0,0,0,3,0,3,0,3
Grivet Service,com.fns.grivet.controller,ClassRegistryController,89,159,5,5,14,32,6,5,2,4
Grivet Service,com.fns.grivet.controller,GlobalControllerExceptionHandler,0,30,0,0,0,6,0,2,0,2
Grivet Service,com.fns.grivet.controller,SchemaController,3,64,1,1,1,14,1,3,0,3
Grivet Service,com.fns.grivet.controller,GlobalControllerExceptionHandler.ErrorResponse,0,33,0,0,0,11,0,6,0,6
Grivet Service,com.fns.grivet.controller,EntityController,51,170,7,7,7,31,6,5,0,4
Grivet Service,com.fns.grivet.controller,MeController,18,0,0,0,3,0,2,0,2,0
Grivet Service,com.fns.grivet.controller,MetricsAspect,0,48,0,0,0,12,0,2,0,2
Grivet Service,com.fns.grivet.controller,MeController.AccountInfo,24,0,0,0,8,0,4,0,4,0
Grivet Service,com.fns.grivet.controller,LogUtil,40,0,4,0,9,0,5,0,3,0
Grivet Service,com.fns.grivet.controller,NamedQueryController,0,150,3,9,0,29,3,10,0,7
Grivet Service,com.fns.grivet.service,SchemaValidationException,5,0,0,0,2,0,1,0,1,0
Grivet Service,com.fns.grivet.service,NamedQueryService,97,254,12,16,23,54,11,12,1,7
Grivet Service,com.fns.grivet.service,SchemaService,37,87,9,1,11,21,6,3,1,3
Grivet Service,com.fns.grivet.service,NamedQueryService.new CallableStatementCallback() {...},0,26,0,0,0,3,0,2,0,2
Grivet Service,com.fns.grivet.service,NamedQueryService.new Object() {...},2,17,0,0,0,1,0,1,0,1
Grivet Service,com.fns.grivet.service,EntityService,0,298,0,12,0,58,0,10,0,4
Grivet Service,com.fns.grivet.service,SchemaValidator,14,79,0,0,2,15,0,2,0,2
Grivet Service,com.fns.grivet.service,ClassRegistryService,14,314,3,13,1,63,3,10,0,5
Grivet Service,com.fns.grivet.service,SecurityFacade,27,12,3,1,7,5,3,2,1,2
Grivet Service,com.fns.grivet.config,Roles,13,0,0,0,4,0,1,0,1,0
Grivet Service,com.fns.grivet.config,SpringSecurityWebAppConfig,21,0,0,0,6,0,2,0,2,0
Grivet Service,com.fns.grivet.config,DataSourceConfig,0,38,0,0,0,9,0,2,0,2
