GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet Service,com.fns.grivet.repo,JdbcEntityRepository.EAVComparator,9,0,0,0,2,0,2,0,2,0
Grivet Service,com.fns.grivet.repo,JdbcEntityRepository,335,0,12,0,42,0,13,0,7,0
Grivet Service,com.fns.grivet.repo,AttributeTypeRepository,40,0,0,0,5,0,8,0,8,0
Grivet Service,com.fns.grivet.monitoring,StatsdSettings,79,0,2,0,21,0,12,0,11,0
Grivet Service,com.fns.grivet.monitoring,StatsdRunner,37,0,0,0,7,0,2,0,2,0
Grivet Service,com.fns.grivet.monitoring,DefaultWebappMetricFilter,72,0,0,0,14,0,3,0,3,0
Grivet Service,com.fns.grivet.monitoring,MonitoringSupport.MonitoringListener,19,0,0,0,6,0,3,0,3,0
Grivet Service,com.fns.grivet.monitoring,MonitoringSupport,60,0,0,0,13,0,5,0,5,0
Grivet Service,com.fns.grivet.query,Constraint,95,0,12,0,24,0,13,0,7,0
Grivet Service,com.fns.grivet.query,QueryType,50,0,0,0,4,0,4,0,4,0
Grivet Service,com.fns.grivet.query,Operator,203,0,0,0,22,0,8,0,8,0
Grivet Service,com.fns.grivet.query,Conjunction,87,0,0,0,11,0,7,0,7,0
Grivet Service,com.fns.grivet.query,DynamicQuery,502,0,60,0,94,0,46,0,11,0
Grivet Service,com.fns.grivet.query,QueryBuilder,418,0,22,0,84,0,23,0,12,0
Grivet Service,com.fns.grivet.query,NamedQuery,224,0,30,0,54,0,28,0,13,0
Grivet Service,com.fns.grivet.util,ValueHelper,145,0,24,0,52,0,23,0,3,0
Grivet Service,com.fns.grivet.util,LocalDateTimeConverter,9,0,0,0,3,0,3,0,3,0
Grivet Service,com.fns.grivet.controller,ClassRegistryController,248,0,10,0,47,0,11,0,6,0
Grivet Service,com.fns.grivet.controller,GlobalControllerExceptionHandler,30,0,0,0,6,0,2,0,2,0
Grivet Service,com.fns.grivet.controller,SchemaController,67,0,2,0,15,0,4,0,3,0
Grivet Service,com.fns.grivet.controller,GlobalControllerExceptionHandler.ErrorResponse,33,0,0,0,12,0,6,0,6,0
Grivet Service,com.fns.grivet.controller,EntityController,221,0,14,0,38,0,11,0,4,0
Grivet Service,com.fns.grivet.controller,MeController,18,0,0,0,3,0,2,0,2,0
Grivet Service,com.fns.grivet.controller,MetricsAspect,48,0,0,0,14,0,2,0,2,0
Grivet Service,com.fns.grivet.controller,MeController.AccountInfo,24,0,0,0,8,0,4,0,4,0
Grivet Service,com.fns.grivet.controller,LogUtil,39,0,4,0,9,0,5,0,3,0
Grivet Service,com.fns.grivet.controller,NamedQueryController,150,0,12,0,30,0,13,0,7,0
Grivet Service,com.fns.grivet.model,ClassAttribute,40,0,2,0,14,0,8,0,7,0
Grivet Service,com.fns.grivet.model,EntityAttributeValue,57,0,4,0,19,0,11,0,9,0
Grivet Service,com.fns.grivet.model,Class,55,0,2,0,21,0,13,0,12,0
Grivet Service,com.fns.grivet.model,ClassAttributePK,39,0,2,0,13,0,8,0,7,0
Grivet Service,com.fns.grivet.model,Attribute,36,0,2,0,14,0,9,0,8,0
Grivet Service,com.fns.grivet.model,AttributeType,236,0,2,0,25,0,12,0,11,0
Grivet Service,com.fns.grivet.model,Audited,76,0,8,0,30,0,18,0,14,0
Grivet Service,com.fns.grivet.service,SchemaValidationException,5,0,0,0,2,0,1,0,1,0
Grivet Service,com.fns.grivet.service,NamedQueryService,349,0,28,0,76,0,23,0,8,0
Grivet Service,com.fns.grivet.service,SchemaService,124,0,10,0,32,0,9,0,4,0
Grivet Service,com.fns.grivet.service,NamedQueryService.new CallableStatementCallback() {...},25,0,0,0,4,0,2,0,2,0
Grivet Service,com.fns.grivet.service,EntityService,298,0,12,0,57,0,10,0,4,0
Grivet Service,com.fns.grivet.service,SchemaValidator,93,0,0,0,17,0,2,0,2,0
Grivet Service,com.fns.grivet.service,ClassRegistryService,328,0,16,0,62,0,13,0,5,0
Grivet Service,com.fns.grivet.service,SecurityFacade,39,0,4,0,12,0,5,0,3,0
Grivet Service,com.fns.grivet.config,Roles,13,0,0,0,4,0,1,0,1,0
Grivet Service,com.fns.grivet.config,SpringSecurityWebAppConfig,21,0,0,0,6,0,2,0,2,0
Grivet Service,com.fns.grivet.config,DataSourceConfig,38,0,0,0,9,0,2,0,2,0
Grivet Service,com.fns.grivet.api,SwaggerConfig,77,0,0,0,20,0,3,0,3,0
Grivet Service,com.fns.grivet,AppInit,8,0,0,0,3,0,2,0,2,0
