GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet Service,com.fns.grivet.security.basic,SecurityConfig.AuthenticationSecurity,13,0,0,0,5,0,2,0,2,0
Grivet Service,com.fns.grivet.security.basic,SecurityConfig,3,0,0,0,1,0,1,0,1,0
Grivet Service,com.fns.grivet.repo,JdbcEntityRepository,58,233,3,5,8,24,4,6,1,5
Grivet Service,com.fns.grivet.repo,JdbcEntityRepository.EAVComparator,0,9,0,0,0,2,0,2,0,2
Grivet Service,com.fns.grivet.repo,AttributeTypeRepository,0,40,0,0,0,5,0,8,0,8
Grivet Service,com.fns.grivet.query,Constraint,5,65,2,6,1,15,2,7,0,5
Grivet Service,com.fns.grivet.query,Operator,5,186,0,0,0,21,1,7,1,7
Grivet Service,com.fns.grivet.query,DynamicQuery.new Object() {...},10,69,0,0,0,2,0,1,0,1
Grivet Service,com.fns.grivet.query,QueryBuilder,93,326,3,19,15,68,6,17,3,9
Grivet Service,com.fns.grivet.query,QueryType,5,33,0,0,0,3,1,3,1,3
Grivet Service,com.fns.grivet.query,Conjunction,5,70,0,0,0,10,1,6,1,6
Grivet Service,com.fns.grivet.query,DynamicQuery,92,390,24,34,21,71,20,24,1,10
Grivet Service,com.fns.grivet.query,NamedQuery,72,204,12,20,9,47,12,17,1,12
Grivet Service,com.fns.grivet.controller,GlobalControllerExceptionHandler,31,47,3,1,2,7,2,2,0,2
Grivet Service,com.fns.grivet.controller,UserController,4,6,0,0,1,3,1,1,1,1
Grivet Service,com.fns.grivet.controller,LogUtil,41,37,6,2,9,8,7,2,3,2
Grivet Service,com.fns.grivet.controller,NamedQueryController,27,123,8,4,2,27,6,7,0,7
Grivet Service,com.fns.grivet.controller,ClassRegistryController,165,192,14,8,28,36,10,11,1,9
Grivet Service,com.fns.grivet.controller,EntityController,152,114,16,6,22,22,12,5,1,5
Grivet Service,com.fns.grivet.controller,MetricsAspect,42,6,0,0,9,3,1,1,1,1
Grivet Service,com.fns.grivet.model,ClassAttribute,0,25,0,0,0,10,0,5,0,5
Grivet Service,com.fns.grivet.model,Class,4,36,0,0,2,15,1,9,1,9
Grivet Service,com.fns.grivet.model,ValueHelper.new Object() {...},7,47,0,0,0,1,0,1,0,1
Grivet Service,com.fns.grivet.model,Role,24,8,0,0,10,2,7,1,7,1
Grivet Service,com.fns.grivet.model,Audited,24,37,3,3,9,17,6,9,3,9
Grivet Service,com.fns.grivet.model,LocalDateTimeConverter,0,9,0,0,0,3,0,3,0,3
Grivet Service,com.fns.grivet.model,EntityAttributeValue,10,32,1,1,3,12,3,5,2,5
Grivet Service,com.fns.grivet.model,ClassAttributePK,58,3,0,0,11,1,6,1,6,1
Grivet Service,com.fns.grivet.model,Attribute,7,16,0,0,3,7,2,4,2,4
Grivet Service,com.fns.grivet.model,AttributeType,5,191,0,2,0,22,1,11,1,10
Grivet Service,com.fns.grivet.model,User,63,8,0,0,22,3,11,1,11,1
Grivet Service,com.fns.grivet.model,ValueHelper,8,109,6,18,2,40,7,14,1,2
Grivet Service,com.fns.grivet.service,EntityService,8,282,1,9,1,56,1,8,0,4
Grivet Service,com.fns.grivet.service,SchemaValidator,14,67,0,0,2,13,0,2,0,2
Grivet Service,com.fns.grivet.service,ClassRegistryService,15,428,9,17,1,91,9,12,0,8
Grivet Service,com.fns.grivet.service,CustomUserDetailsService.GrivetUser,18,0,0,0,8,0,7,0,7,0
Grivet Service,com.fns.grivet.service,SchemaValidationException,5,0,0,0,2,0,1,0,1,0
Grivet Service,com.fns.grivet.service,CustomUserDetailsService,25,6,2,0,4,3,2,1,1,1
Grivet Service,com.fns.grivet.service,NamedQueryService,44,307,10,18,8,69,9,14,0,8
Grivet Service,com.fns.grivet.service,NamedQueryService.new CallableStatementCallback() {...},0,26,0,0,0,3,0,2,0,2
Grivet Service,com.fns.grivet.service,NamedQueryService.new Object() {...},2,17,0,0,0,1,0,1,0,1
Grivet Service,com.fns.grivet.service,SecurityFacade,23,12,3,1,6,5,3,2,1,2
Grivet Service,com.fns.grivet.config,DataSourceConfig,0,38,0,0,0,9,0,2,0,2
Grivet Service,com.fns.grivet.api,SwaggerConfig,0,72,0,0,0,19,0,3,0,3
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig.MethodSecurityConfig,7,0,0,0,2,0,2,0,2,0
Grivet Service,com.fns.grivet.security.oauth2,AdminController,158,0,14,0,42,0,18,0,11,0
Grivet Service,com.fns.grivet.security.oauth2,AccessConfirmationController,119,0,8,0,22,0,9,0,5,0
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig.ApprovalStoreConfig,37,0,0,0,10,0,3,0,3,0
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig.WebSecurityConfig,29,0,0,0,4,0,3,0,3,0
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig.ResourceServer,49,0,0,0,14,0,3,0,3,0
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig,3,0,0,0,1,0,1,0,1,0
Grivet Service,com.fns.grivet.security.oauth2,SecurityConfig.OAuth2Config,117,0,0,0,24,0,6,0,6,0
Grivet Service,com.fns.grivet.security.oauth2,GrivetUserApprovalHandler,68,0,8,0,24,0,8,0,4,0
Grivet Service,com.fns.grivet,App,5,3,0,0,2,1,1,1,1,1
