GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grivet,com.fns.grivet.repo,JdbcEntityRepository.EAVComparator,0,9,0,0,0,2,0,2,0,2
Grivet,com.fns.grivet.repo,JdbcEntityRepository,57,224,2,4,8,23,3,6,1,5
Grivet,com.fns.grivet.repo,AttributeTypeRepository,0,40,0,0,0,5,0,8,0,8
Grivet,com.fns.grivet.query,Constraint,5,65,2,6,1,15,2,7,0,5
Grivet,com.fns.grivet.query,QueryType,5,33,0,0,0,3,1,3,1,3
Grivet,com.fns.grivet.query,Operator,5,186,0,0,0,21,1,7,1,7
Grivet,com.fns.grivet.query,Conjunction,5,70,0,0,0,10,1,6,1,6
Grivet,com.fns.grivet.query,DynamicQuery.new Object() {...},10,69,0,0,0,2,0,1,0,1
Grivet,com.fns.grivet.query,DynamicQuery,92,390,24,34,21,71,20,24,1,10
Grivet,com.fns.grivet.query,QueryBuilder,93,326,3,19,15,68,6,17,3,9
Grivet,com.fns.grivet.query,NamedQuery,75,210,12,20,9,49,12,18,1,13
Grivet,com.fns.grivet.controller,ClassRegistryController,158,192,14,8,28,36,10,11,1,9
Grivet,com.fns.grivet.controller,GlobalControllerExceptionHandler,31,47,3,1,1,6,2,2,0,2
Grivet,com.fns.grivet.controller,EntityController,145,114,16,6,22,22,12,5,1,5
Grivet,com.fns.grivet.controller,MetricsAspect,42,6,0,0,9,3,1,1,1,1
Grivet,com.fns.grivet.controller,LogUtil,41,37,6,2,9,8,7,2,3,2
Grivet,com.fns.grivet.controller,NamedQueryController,27,123,8,4,2,27,6,7,0,7
Grivet,com.fns.grivet.model,ClassAttribute,3,27,0,0,1,11,1,5,1,5
Grivet,com.fns.grivet.model,EntityAttributeValue,3,30,0,0,1,11,1,5,1,5
Grivet,com.fns.grivet.model,Class,10,46,0,0,4,19,3,10,3,10
Grivet,com.fns.grivet.model,ValueHelper.new Object() {...},7,47,0,0,0,1,0,1,0,1
Grivet,com.fns.grivet.model,ClassAttributePK,58,3,0,0,11,1,6,1,6,1
Grivet,com.fns.grivet.model,Attribute,10,18,0,0,4,8,3,4,3,4
Grivet,com.fns.grivet.model,AttributeType,5,191,0,2,0,22,1,11,1,10
Grivet,com.fns.grivet.model,LocalDateTimeConverter,0,9,0,0,0,3,0,3,0,3
Grivet,com.fns.grivet.model,ValueHelper,8,109,6,18,3,40,7,14,1,2
Grivet,com.fns.grivet.service,SchemaValidationException,5,0,0,0,2,0,1,0,1,0
Grivet,com.fns.grivet.service,NamedQueryService,43,296,9,17,8,67,8,14,0,8
Grivet,com.fns.grivet.service,NamedQueryService.new CallableStatementCallback() {...},0,26,0,0,0,3,0,2,0,2
Grivet,com.fns.grivet.service,NamedQueryService.new Object() {...},2,17,0,0,0,1,0,1,0,1
Grivet,com.fns.grivet.service,EntityService,8,282,1,9,1,56,1,8,0,4
Grivet,com.fns.grivet.service,SchemaValidator,14,67,0,0,2,13,0,2,0,2
Grivet,com.fns.grivet.service,ClassRegistryService,13,406,7,15,1,88,7,12,0,8
Grivet,com.fns.grivet.api,SwaggerConfig,0,71,0,0,0,19,0,3,0,3
Grivet,com.fns.grivet,App,5,3,0,0,2,1,1,1,1,1
